,driver,race,constructor,year
240,BOT,12,ALF,2023
241,ZHO,12,ALF,2023
242,VER,13,RBR,2023
243,PER,13,RBR,2023
244,NOR,13,MCL,2023
245,PIA,13,MCL,2023
246,HAM,13,MER,2023
247,RUS,13,MER,2023
248,LEC,13,FER,2023
249,SAI,13,FER,2023
250,ALO,13,AMR,2023
251,STR,13,AMR,2023
252,OCO,13,ALP,2023
253,GAS,13,ALP,2023
254,TSU,13,AT,2023
256,RIC,13,AT,2023
258,ALB,13,WIL,2023
259,SAR,13,WIL,2023
260,MAG,13,HAS,2023
261,HUL,13,HAS,2023
262,BOT,13,ALF,2023
263,ZHO,13,ALF,2023
264,VER,14,RBR,2023
265,PER,14,RBR,2023
266,NOR,14,MCL,2023
267,PIA,14,MCL,2023
268,HAM,14,MER,2023
269,RUS,14,MER,2023
270,LEC,14,FER,2023
271,SAI,14,FER,2023
272,ALO,14,AMR,2023
273,STR,14,AMR,2023
274,OCO,14,ALP,2023
275,GAS,14,ALP,2023
276,TSU,14,AT,2023
279,LAW,14,AT,2023
280,ALB,14,WIL,2023
281,SAR,14,WIL,2023
282,MAG,14,HAS,2023
283,HUL,14,HAS,2023
284,BOT,14,ALF,2023
285,ZHO,14,ALF,2023
286,VER,15,RBR,2023
287,PER,15,RBR,2023
288,NOR,15,MCL,2023
289,PIA,15,MCL,2023
290,HAM,15,MER,2023
291,RUS,15,MER,2023
292,LEC,15,FER,2023
293,SAI,15,FER,2023
294,ALO,15,AMR,2023
295,STR,15,AMR,2023
296,OCO,15,ALP,2023
297,GAS,15,ALP,2023
298,TSU,15,AT,2023
301,LAW,15,AT,2023
302,ALB,15,WIL,2023
303,SAR,15,WIL,2023
304,MAG,15,HAS,2023
305,HUL,15,HAS,2023
306,BOT,15,ALF,2023
307,ZHO,15,ALF,2023
308,VER,16,RBR,2023
309,PER,16,RBR,2023
310,NOR,16,MCL,2023
311,PIA,16,MCL,2023
312,HAM,16,MER,2023
313,RUS,16,MER,2023
314,LEC,16,FER,2023
315,SAI,16,FER,2023
316,ALO,16,AMR,2023
317,STR,16,AMR,2023
318,OCO,16,ALP,2023
319,GAS,16,ALP,2023
320,TSU,16,AT,2023
323,LAW,16,AT,2023
324,ALB,16,WIL,2023
325,SAR,16,WIL,2023
326,MAG,16,HAS,2023
327,HUL,16,HAS,2023
328,BOT,16,ALF,2023
329,ZHO,16,ALF,2023
330,VER,17,RBR,2023
331,PER,17,RBR,2023
332,NOR,17,MCL,2023
333,PIA,17,MCL,2023
334,HAM,17,MER,2023
335,RUS,17,MER,2023
336,LEC,17,FER,2023
337,SAI,17,FER,2023
338,ALO,17,AMR,2023
339,STR,17,AMR,2023
340,OCO,17,ALP,2023
341,GAS,17,ALP,2023
342,TSU,17,AT,2023
345,LAW,17,AT,2023
346,ALB,17,WIL,2023
347,SAR,17,WIL,2023
348,MAG,17,HAS,2023
349,HUL,17,HAS,2023
350,BOT,17,ALF,2023
351,ZHO,17,ALF,2023
352,VER,18,RBR,2023
353,PER,18,RBR,2023
354,NOR,18,MCL,2023
355,PIA,18,MCL,2023
356,HAM,18,MER,2023
357,RUS,18,MER,2023
358,LEC,18,FER,2023
359,SAI,18,FER,2023
360,ALO,18,AMR,2023
361,STR,18,AMR,2023
362,OCO,18,ALP,2023
363,GAS,18,ALP,2023
364,TSU,18,AT,2023
367,LAW,18,AT,2023
368,ALB,18,WIL,2023
369,SAR,18,WIL,2023
370,MAG,18,HAS,2023
371,HUL,18,HAS,2023
372,BOT,18,ALF,2023
373,ZHO,18,ALF,2023
374,VER,19,RBR,2023
375,PER,19,RBR,2023
376,NOR,19,MCL,2023
377,PIA,19,MCL,2023
378,HAM,19,MER,2023
379,RUS,19,MER,2023
380,LEC,19,FER,2023
381,SAI,19,FER,2023
382,ALO,19,AMR,2023
383,STR,19,AMR,2023
384,OCO,19,ALP,2023
385,GAS,19,ALP,2023
386,TSU,19,AT,2023
388,RIC,19,AT,2023
390,ALB,19,WIL,2023
391,SAR,19,WIL,2023
392,MAG,19,HAS,2023
393,HUL,19,HAS,2023
394,BOT,19,ALF,2023
395,ZHO,19,ALF,2023
396,VER,20,RBR,2023
397,PER,20,RBR,2023
398,NOR,20,MCL,2023
399,PIA,20,MCL,2023
400,HAM,20,MER,2023
401,RUS,20,MER,2023
402,LEC,20,FER,2023
403,SAI,20,FER,2023
404,ALO,20,AMR,2023
405,STR,20,AMR,2023
406,OCO,20,ALP,2023
407,GAS,20,ALP,2023
408,TSU,20,AT,2023
410,RIC,20,AT,2023
412,ALB,20,WIL,2023
413,SAR,20,WIL,2023
414,MAG,20,HAS,2023
415,HUL,20,HAS,2023
416,BOT,20,ALF,2023
417,ZHO,20,ALF,2023
418,VER,21,RBR,2023
419,PER,21,RBR,2023
420,NOR,21,MCL,2023
421,PIA,21,MCL,2023
422,HAM,21,MER,2023
423,RUS,21,MER,2023
424,LEC,21,FER,2023
425,SAI,21,FER,2023
426,ALO,21,AMR,2023
427,STR,21,AMR,2023
428,OCO,21,ALP,2023
429,GAS,21,ALP,2023
430,TSU,21,AT,2023
432,RIC,21,AT,2023
434,ALB,21,WIL,2023
435,SAR,21,WIL,2023
436,MAG,21,HAS,2023
437,HUL,21,HAS,2023
438,BOT,21,ALF,2023
