,year,race,race_name,start_date,location,country_code,meeting_key,month,start_epoch
57,2025,11,Austrian Grand Prix,2025-06-29 13:00:00+00:00,Spielberg,AUT,1264,6,1751202000
58,2025,12,British Grand Prix,2025-07-06 14:00:00+00:00,Silverstone,GBR,1277,7,1751810400
59,2025,13,Belgian Grand Prix,2025-07-27 13:00:00+00:00,Spa-Francorchamps,BEL,1265,7,1753621200
60,2025,14,Hungarian Grand Prix,2025-08-03 13:00:00+00:00,Budapest,HUN,1266,8,1754226000
61,2025,15,Dutch Grand Prix,2025-08-31 13:00:00+00:00,Zandvoort,NED,1267,8,1756645200
62,2025,16,Italian Grand Prix,2025-09-07 13:00:00+00:00,Monza,ITA,1268,9,1757250000
63,2025,17,Azerbaijan Grand Prix,2025-09-21 11:00:00+00:00,Baku,AZE,1269,9,1758452400
64,2025,18,Singapore Grand Prix,2025-10-05 12:00:00+00:00,Marina Bay,SGP,1270,10,1759665600
65,2025,19,United States Grand Prix,2025-10-19 19:00:00+00:00,Austin,USA,1271,10,1760900400
66,2025,20,Mexico City Grand Prix,2025-10-26 20:00:00+00:00,Mexico City,MEX,1272,10,1761508800
67,2025,21,São Paulo Grand Prix,2025-11-09 17:00:00+00:00,São Paulo,BRA,1273,11,1762707600
68,2025,22,Las Vegas Grand Prix,2025-11-23 04:00:00+00:00,Las Vegas,USA,1274,11,1763870400
69,2025,23,Qatar Grand Prix,2025-11-30 16:00:00+00:00,Lusail,QAT,1275,11,1764518400
70,2025,24,Abu Dhabi Grand Prix,2025-12-07 13:00:00+00:00,Yas Island,UAE,1276,12,1765112400
71,2026,1,Australian Grand Prix,2026-03-08 04:00:00+00:00,Melbourne,AUS,1279,3,1772942400
72,2026,2,Chinese Grand Prix,2026-03-15 07:00:00+00:00,Shanghai,CHN,1280,3,1773558000
73,2026,3,Japanese Grand Prix,2026-03-29 05:00:00+00:00,Suzuka,JPN,1281,3,1774760400
74,2026,4,Bahrain Grand Prix,2026-04-12 15:00:00+00:00,Sakhir,BRN,1282,4,1776006000
75,2026,5,Saudi Arabian Grand Prix,2026-04-19 17:00:00+00:00,Jeddah,KSA,1283,4,1776618000
76,2026,6,Miami Grand Prix,2026-05-03 20:00:00+00:00,Miami Gardens,USA,1284,5,1777838400
77,2026,7,Canadian Grand Prix,2026-05-24 20:00:00+00:00,Montréal,CAN,1285,5,1779652800
78,2026,8,Monaco Grand Prix,2026-06-07 13:00:00+00:00,Monte Carlo,MON,1286,6,1780837200
79,2026,9,Barcelona Grand Prix,2026-06-14 13:00:00+00:00,Barcelona,ESP,1287,6,1781442000
80,2026,10,Austrian Grand Prix,2026-06-28 13:00:00+00:00,Spielberg,AUT,1288,6,1782651600
81,2026,11,British Grand Prix,2026-07-05 14:00:00+00:00,Silverstone,GBR,1289,7,1783260000
82,2026,12,Belgian Grand Prix,2026-07-19 13:00:00+00:00,Spa-Francorchamps,BEL,1290,7,1784466000
83,2026,13,Hungarian Grand Prix,2026-07-26 13:00:00+00:00,Budapest,HUN,1291,7,1785070800
84,2026,14,Dutch Grand Prix,2026-08-23 13:00:00+00:00,Zandvoort,NED,1292,8,1787490000
85,2026,15,Italian Grand Prix,2026-09-06 13:00:00+00:00,Monza,ITA,1293,9,1788699600
86,2026,16,Spanish Grand Prix,2026-09-13 13:00:00+00:00,Madrid,ESP,1294,9,1789304400
87,2026,17,Azerbaijan Grand Prix,2026-09-26 11:00:00+00:00,Baku,AZE,1295,9,1790420400
88,2026,18,Singapore Grand Prix,2026-10-11 12:00:00+00:00,Marina Bay,SGP,1296,10,1791720000
89,2026,19,United States Grand Prix,2026-10-25 20:00:00+00:00,Austin,USA,1297,10,1792958400
90,2026,20,Mexico City Grand Prix,2026-11-01 20:00:00+00:00,Mexico City,MEX,1298,11,1793563200
91,2026,21,São Paulo Grand Prix,2026-11-08 17:00:00+00:00,São Paulo,BRA,1299,11,1794157200
92,2026,22,Las Vegas Grand Prix,2026-11-22 04:00:00+00:00,Las Vegas,USA,1300,11,1795320000
93,2026,23,Qatar Grand Prix,2026-11-29 16:00:00+00:00,Lusail,QAT,1301,11,1795968000
94,2026,24,Abu Dhabi Grand Prix,2026-12-06 13:00:00+00:00,Yas Marina,UAE,1302,12,1796562000
